stock_broodyr_age,production_stock_name,production_stock_code,broodyr,returnyr,age,total_broodyr_spawners,total_broodyr_EFS,total_broodyr_age1_smolt,total_broodyr_age2_smolt,total_broodyr_fry_estimate,num_recruits,hatchery_supplementation,active_spawning_channel,major_spawn_events,run_size_type,age_comp_method,stock_ID_quality,big_bar_flag,exclude_SR_modelling_spawners,exclude_SR_modelling_recruits
Late Stuart_1948_21,Late Stuart,2,1948,1950,21,1049,,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1948_31,Late Stuart,2,1948,1951,31,1049,,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1948_32,Late Stuart,2,1948,1951,32,1049,,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1948_41,Late Stuart,2,1948,1952,41,1049,,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1948_42,Late Stuart,2,1948,1952,42,1049,,,,,327,,,,historical,,2,,Include,Include
Late Stuart_1948_43,Late Stuart,2,1948,1952,43,1049,,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1948_51,Late Stuart,2,1948,1953,51,1049,,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1948_52,Late Stuart,2,1948,1953,52,1049,,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1948_53,Late Stuart,2,1948,1953,53,1049,,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1948_62,Late Stuart,2,1948,1954,62,1049,,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1948_63,Late Stuart,2,1948,1954,63,1049,,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1948_64,Late Stuart,2,1948,1954,64,1049,,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1948_72,Late Stuart,2,1948,1955,72,1049,,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1949_21,Late Stuart,2,1949,1951,21,107752,39085,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1949_31,Late Stuart,2,1949,1952,31,107752,39085,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1949_32,Late Stuart,2,1949,1952,32,107752,39085,,,,3433,,,,historical,,2,,Include,Include
Late Stuart_1949_41,Late Stuart,2,1949,1953,41,107752,39085,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1949_42,Late Stuart,2,1949,1953,42,107752,39085,,,,1526554,,,,historical,,2,,Include,Include
Late Stuart_1949_43,Late Stuart,2,1949,1953,43,107752,39085,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1949_51,Late Stuart,2,1949,1954,51,107752,39085,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1949_52,Late Stuart,2,1949,1954,52,107752,39085,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1949_53,Late Stuart,2,1949,1954,53,107752,39085,,,,215,,,,historical,,2,,Include,Include
Late Stuart_1949_62,Late Stuart,2,1949,1955,62,107752,39085,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1949_63,Late Stuart,2,1949,1955,63,107752,39085,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1949_64,Late Stuart,2,1949,1955,64,107752,39085,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1949_72,Late Stuart,2,1949,1956,72,107752,39085,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1950_21,Late Stuart,2,1950,1952,21,5843,1834,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1950_31,Late Stuart,2,1950,1953,31,5843,1834,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1950_32,Late Stuart,2,1950,1953,32,5843,1834,,,,591,,,,historical,,2,,Include,Include
Late Stuart_1950_41,Late Stuart,2,1950,1954,41,5843,1834,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1950_42,Late Stuart,2,1950,1954,42,5843,1834,,,,36671,,,,historical,,2,,Include,Include
Late Stuart_1950_43,Late Stuart,2,1950,1954,43,5843,1834,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1950_51,Late Stuart,2,1950,1955,51,5843,1834,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1950_52,Late Stuart,2,1950,1955,52,5843,1834,,,,2419,,,,post-DBE,,2,,Include,Include
Late Stuart_1950_53,Late Stuart,2,1950,1955,53,5843,1834,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1950_62,Late Stuart,2,1950,1956,62,5843,1834,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1950_63,Late Stuart,2,1950,1956,63,5843,1834,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1950_64,Late Stuart,2,1950,1956,64,5843,1834,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1950_72,Late Stuart,2,1950,1957,72,5843,1834,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1951_21,Late Stuart,2,1951,1953,21,4402,1246,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1951_31,Late Stuart,2,1951,1954,31,4402,1246,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1951_32,Late Stuart,2,1951,1954,32,4402,1246,,,,0,,,,historical,,2,,Include,Include
Late Stuart_1951_41,Late Stuart,2,1951,1955,41,4402,1246,,,,0,,,,post-DBE,,2,,Include,Include
Late Stuart_1951_42,Late Stuart,2,1951,1955,42,4402,1246,,,,56085,,,,post-DBE,,2,,Include,Include
Late Stuart_1951_43,Late Stuart,2,1951,1955,43,4402,1246,,,,0,,,,post-DBE,,2,,Include,Include
