Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Run,Total_Spawners_BroodYear
Egegik,Sockeye,Run,2025,1963,1960,3,1,NA
NA,NA,NA,NA,1963,1959,4,52948,NA
NA,NA,NA,NA,1963,1958,5,1127178,NA
NA,NA,NA,NA,1963,1957,6,796122,NA
NA,NA,NA,NA,1964,1961,3,1,NA
NA,NA,NA,NA,1964,1960,4,214239,NA
NA,NA,NA,NA,1964,1959,5,1401648,NA
NA,NA,NA,NA,1964,1958,6,318965,NA
NA,NA,NA,NA,1965,1962,3,1,NA
NA,NA,NA,NA,1965,1961,4,47269,NA
NA,NA,NA,NA,1965,1960,5,4474628,NA
NA,NA,NA,NA,1965,1959,6,647107,NA
NA,NA,NA,NA,1966,1963,3,1,997602
NA,NA,NA,NA,1966,1962,4,3952,NA
NA,NA,NA,NA,1966,1961,5,487820,NA
NA,NA,NA,NA,1966,1960,6,2391646,NA
NA,NA,NA,NA,1967,1964,3,229,849576
NA,NA,NA,NA,1967,1963,4,5956,997602
NA,NA,NA,NA,1967,1962,5,736646,NA
NA,NA,NA,NA,1967,1961,6,943908,NA
NA,NA,NA,NA,1968,1965,3,1,1444608
NA,NA,NA,NA,1968,1964,4,67004,849576
NA,NA,NA,NA,1968,1963,5,599244,997602
NA,NA,NA,NA,1968,1962,6,337233,NA
NA,NA,NA,NA,1969,1966,3,1,804246
NA,NA,NA,NA,1969,1965,4,48756,1444608
NA,NA,NA,NA,1969,1964,5,1571337,849576
NA,NA,NA,NA,1969,1963,6,381198,997602
NA,NA,NA,NA,1970,1967,3,1,636864
NA,NA,NA,NA,1970,1966,4,146136,804246
NA,NA,NA,NA,1970,1965,5,1496721,1444608
NA,NA,NA,NA,1970,1964,6,295037,849576
NA,NA,NA,NA,1971,1968,3,1,338654
NA,NA,NA,NA,1971,1967,4,59044,636864
NA,NA,NA,NA,1971,1966,5,1113583,804246
NA,NA,NA,NA,1971,1965,6,819197,1444608
NA,NA,NA,NA,1972,1969,3,1,1015554
NA,NA,NA,NA,1972,1968,4,21406,338654
NA,NA,NA,NA,1972,1967,5,937442,636864
NA,NA,NA,NA,1972,1966,6,791877,804246
NA,NA,NA,NA,1973,1970,3,1,919734
NA,NA,NA,NA,1973,1969,4,12096,1015554
NA,NA,NA,NA,1973,1968,5,137200,338654
NA,NA,NA,NA,1973,1967,6,631571,636864
NA,NA,NA,NA,1974,1971,3,1,634014
NA,NA,NA,NA,1974,1970,4,106127,919734
NA,NA,NA,NA,1974,1969,5,1193907,1015554
NA,NA,NA,NA,1974,1968,6,200828,338654
NA,NA,NA,NA,1975,1972,3,1,546402
NA,NA,NA,NA,1975,1971,4,24520,634014
NA,NA,NA,NA,1975,1970,5,646805,919734
NA,NA,NA,NA,1975,1969,6,1549725,1015554
NA,NA,NA,NA,1976,1973,3,1,328842
NA,NA,NA,NA,1976,1972,4,1,546402
NA,NA,NA,NA,1976,1971,5,1289361,634014
NA,NA,NA,NA,1976,1970,6,415534,919734
NA,NA,NA,NA,1977,1974,3,1443,1275630
NA,NA,NA,NA,1977,1973,4,35476,328842
NA,NA,NA,NA,1977,1972,5,1604517,546402
NA,NA,NA,NA,1977,1971,6,1322611,634014
NA,NA,NA,NA,1978,1975,3,1,1173840
NA,NA,NA,NA,1978,1974,4,62068,1275630
NA,NA,NA,NA,1978,1973,5,660776,328842
NA,NA,NA,NA,1978,1972,6,1291411,546402
NA,NA,NA,NA,1979,1976,3,148,509160
NA,NA,NA,NA,1979,1975,4,62364,1173840
NA,NA,NA,NA,1979,1974,5,1755106,1275630
NA,NA,NA,NA,1979,1973,6,748115,328842
NA,NA,NA,NA,1980,1977,3,2322,692514
NA,NA,NA,NA,1980,1976,4,434550,509160
NA,NA,NA,NA,1980,1975,5,2385299,1173840
NA,NA,NA,NA,1980,1974,6,620229,1275630
NA,NA,NA,NA,1981,1978,3,1,895698
NA,NA,NA,NA,1981,1977,4,824852,692514
NA,NA,NA,NA,1981,1976,5,3224745,509160
NA,NA,NA,NA,1981,1975,6,589725,1173840
NA,NA,NA,NA,1982,1979,3,2849,1032042
NA,NA,NA,NA,1982,1978,4,394739,895698
NA,NA,NA,NA,1982,1977,5,2563630,692514
NA,NA,NA,NA,1982,1976,6,821031,509160
NA,NA,NA,NA,1983,1980,3,4870,1060860
NA,NA,NA,NA,1983,1979,4,659361,1032042
NA,NA,NA,NA,1983,1978,5,7012985,895698
NA,NA,NA,NA,1983,1977,6,769092,692514
NA,NA,NA,NA,1984,1981,3,1,694680
NA,NA,NA,NA,1984,1980,4,752354,1060860
NA,NA,NA,NA,1984,1979,5,2199771,1032042
NA,NA,NA,NA,1984,1978,6,2498586,895698
NA,NA,NA,NA,1985,1982,3,1756,1034628
NA,NA,NA,NA,1985,1981,4,638517,694680
NA,NA,NA,NA,1985,1980,5,6506611,1060860
NA,NA,NA,NA,1985,1979,6,1176189,1032042
NA,NA,NA,NA,1986,1983,3,2413,792282
NA,NA,NA,NA,1986,1982,4,1228081,1034628
NA,NA,NA,NA,1986,1981,5,3315852,694680
NA,NA,NA,NA,1986,1980,6,958583,1060860
NA,NA,NA,NA,1987,1984,3,484,1165345
NA,NA,NA,NA,1987,1983,4,1287026,792282
NA,NA,NA,NA,1987,1982,5,3618116,1034628
NA,NA,NA,NA,1987,1981,6,1479604,694680
NA,NA,NA,NA,1988,1985,3,872,1095192
NA,NA,NA,NA,1988,1984,4,485260,1165345
NA,NA,NA,NA,1988,1983,5,6037725,792282
NA,NA,NA,NA,1988,1982,6,1586094,1034628
NA,NA,NA,NA,1989,1986,3,1409,1150000
NA,NA,NA,NA,1989,1985,4,460023,1095192
NA,NA,NA,NA,1989,1984,5,5885656,1165345
NA,NA,NA,NA,1989,1983,6,3459343,792282
NA,NA,NA,NA,1990,1987,3,1250,1270000
NA,NA,NA,NA,1990,1986,4,2428369,1150000
NA,NA,NA,NA,1990,1985,5,4801500,1095192
NA,NA,NA,NA,1990,1984,6,5349184,1165345
NA,NA,NA,NA,1991,1988,3,1176,1610000
NA,NA,NA,NA,1991,1987,4,770779,1270000
NA,NA,NA,NA,1991,1986,5,7308389,1150000
