Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Run,Total_Spawners_BroodYear
Igushik,Sockeye,Run,2024,1963,1960,3,1,NA
NA,NA,NA,NA,1963,1959,4,75779,NA
NA,NA,NA,NA,1963,1958,5,51359,NA
NA,NA,NA,NA,1963,1957,6,9213,NA
NA,NA,NA,NA,1964,1961,3,1,NA
NA,NA,NA,NA,1964,1960,4,41912,NA
NA,NA,NA,NA,1964,1959,5,135654,NA
NA,NA,NA,NA,1964,1958,6,13488,NA
NA,NA,NA,NA,1965,1962,3,1,NA
NA,NA,NA,NA,1965,1961,4,28452,NA
NA,NA,NA,NA,1965,1960,5,252608,NA
NA,NA,NA,NA,1965,1959,6,16194,NA
NA,NA,NA,NA,1966,1963,3,1,92184
NA,NA,NA,NA,1966,1962,4,17671,NA
NA,NA,NA,NA,1966,1961,5,262777,NA
NA,NA,NA,NA,1966,1960,6,29630,NA
NA,NA,NA,NA,1967,1964,3,105,128532
NA,NA,NA,NA,1967,1963,4,196850,92184
NA,NA,NA,NA,1967,1962,5,205905,NA
NA,NA,NA,NA,1967,1961,6,9514,NA
NA,NA,NA,NA,1968,1965,3,299,180840
NA,NA,NA,NA,1968,1964,4,125081,128532
NA,NA,NA,NA,1968,1963,5,159764,92184
NA,NA,NA,NA,1968,1962,6,5541,NA
NA,NA,NA,NA,1969,1966,3,1,206360
NA,NA,NA,NA,1969,1965,4,319406,180840
NA,NA,NA,NA,1969,1964,5,428996,128532
NA,NA,NA,NA,1969,1963,6,11591,92184
NA,NA,NA,NA,1970,1967,3,356,281772
NA,NA,NA,NA,1970,1966,4,54401,206360
NA,NA,NA,NA,1970,1965,5,438372,180840
NA,NA,NA,NA,1970,1964,6,28877,128532
NA,NA,NA,NA,1971,1968,3,452,194508
NA,NA,NA,NA,1971,1967,4,43909,281772
NA,NA,NA,NA,1971,1966,5,238028,206360
NA,NA,NA,NA,1971,1965,6,52842,180840
NA,NA,NA,NA,1972,1969,3,1,512328
NA,NA,NA,NA,1972,1968,4,48617,194508
NA,NA,NA,NA,1972,1967,5,70745,281772
NA,NA,NA,NA,1972,1966,6,8604,206360
NA,NA,NA,NA,1973,1970,3,1,370920
NA,NA,NA,NA,1973,1969,4,918,512328
NA,NA,NA,NA,1973,1968,5,102252,194508
NA,NA,NA,NA,1973,1967,6,10735,281772
NA,NA,NA,NA,1974,1971,3,1,210960
NA,NA,NA,NA,1974,1970,4,37408,370920
NA,NA,NA,NA,1974,1969,5,385587,512328
NA,NA,NA,NA,1974,1968,6,7602,194508
NA,NA,NA,NA,1975,1972,3,93,60018
NA,NA,NA,NA,1975,1971,4,59571,210960
NA,NA,NA,NA,1975,1970,5,207556,370920
