Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Run,Total_Spawners_BroodYear
Kvichak,Sockeye,Run,2026,1963,1960,3,1,NA
NA,NA,NA,NA,1963,1959,4,237464,NA
NA,NA,NA,NA,1963,1958,5,172800,NA
NA,NA,NA,NA,1963,1957,6,205074,NA
NA,NA,NA,NA,1964,1961,3,1602,NA
NA,NA,NA,NA,1964,1960,4,1906426,NA
NA,NA,NA,NA,1964,1959,5,208489,NA
NA,NA,NA,NA,1964,1958,6,65168,NA
NA,NA,NA,NA,1965,1962,3,1,NA
NA,NA,NA,NA,1965,1961,4,415245,NA
NA,NA,NA,NA,1965,1960,5,48204373,NA
NA,NA,NA,NA,1965,1959,6,7688,NA
NA,NA,NA,NA,1966,1963,3,1,338760
NA,NA,NA,NA,1966,1962,4,109787,NA
NA,NA,NA,NA,1966,1961,5,2508901,NA
NA,NA,NA,NA,1966,1960,6,6296845,NA
NA,NA,NA,NA,1967,1964,3,3244,957120
NA,NA,NA,NA,1967,1963,4,31950,338760
NA,NA,NA,NA,1967,1962,5,4853291,NA
NA,NA,NA,NA,1967,1961,6,652876,NA
NA,NA,NA,NA,1968,1965,3,23983,24325926
NA,NA,NA,NA,1968,1964,4,2400305,957120
NA,NA,NA,NA,1968,1963,5,1005551,338760
NA,NA,NA,NA,1968,1962,6,543814,NA
NA,NA,NA,NA,1969,1966,3,8191,3755185
NA,NA,NA,NA,1969,1965,4,10807493,24325926
NA,NA,NA,NA,1969,1964,5,2902252,957120
NA,NA,NA,NA,1969,1963,6,336813,338760
NA,NA,NA,NA,1970,1967,3,1,3216208
NA,NA,NA,NA,1970,1966,4,540663,3755185
NA,NA,NA,NA,1970,1965,5,33828473,24325926
NA,NA,NA,NA,1970,1964,6,456646,957120
NA,NA,NA,NA,1971,1968,3,1788,2557440
NA,NA,NA,NA,1971,1967,4,359863,3216208
NA,NA,NA,NA,1971,1966,5,5454649,3755185
NA,NA,NA,NA,1971,1965,6,1160739,24325926
NA,NA,NA,NA,1972,1969,3,1,8394204
NA,NA,NA,NA,1972,1968,4,300687,2557440
NA,NA,NA,NA,1972,1967,5,1314163,3216208
NA,NA,NA,NA,1972,1966,6,517436,3755185
NA,NA,NA,NA,1973,1970,3,611,13935306
NA,NA,NA,NA,1973,1969,4,156159,8394204
NA,NA,NA,NA,1973,1968,5,142572,2557440
NA,NA,NA,NA,1973,1967,6,110022,3216208
NA,NA,NA,NA,1974,1971,3,1,2387392
NA,NA,NA,NA,1974,1970,4,74433,13935306
NA,NA,NA,NA,1974,1969,5,4798590,8394204
NA,NA,NA,NA,1974,1968,6,188331,2557440
NA,NA,NA,NA,1975,1972,3,4360,1009962
NA,NA,NA,NA,1975,1971,4,366195,2387392
NA,NA,NA,NA,1975,1970,5,15288252,13935306
NA,NA,NA,NA,1975,1969,6,558878,8394204
NA,NA,NA,NA,1976,1973,3,1,226554
NA,NA,NA,NA,1976,1972,4,1971913,1009962
NA,NA,NA,NA,1976,1971,5,1573419,2387392
NA,NA,NA,NA,1976,1970,6,1,13935306
NA,NA,NA,NA,1977,1974,3,14322,4433844
NA,NA,NA,NA,1977,1973,4,535347,226554
NA,NA,NA,NA,1977,1972,5,1028557,1009962
NA,NA,NA,NA,1977,1971,6,96671,2387392
NA,NA,NA,NA,1978,1975,3,6365,13140450
NA,NA,NA,NA,1978,1974,4,6367231,4433844
NA,NA,NA,NA,1978,1973,5,1301657,226554
NA,NA,NA,NA,1978,1972,6,243841,1009962
NA,NA,NA,NA,1979,1976,3,5348,1965282
NA,NA,NA,NA,1979,1975,4,5783213,13140450
NA,NA,NA,NA,1979,1974,5,18772244,4433844
NA,NA,NA,NA,1979,1973,6,366238,226554
NA,NA,NA,NA,1980,1977,3,43289,1341144
NA,NA,NA,NA,1980,1976,4,5994351,1965282
NA,NA,NA,NA,1980,1975,5,31263431,13140450
NA,NA,NA,NA,1980,1974,6,630610,4433844
NA,NA,NA,NA,1981,1978,3,1122,4149288
NA,NA,NA,NA,1981,1977,4,2031786,1341144
NA,NA,NA,NA,1981,1976,5,4482443,1965282
NA,NA,NA,NA,1981,1975,6,386002,13140450
NA,NA,NA,NA,1982,1979,3,56366,11218434
NA,NA,NA,NA,1982,1978,4,1628574,4149288
NA,NA,NA,NA,1982,1977,5,892754,1341144
NA,NA,NA,NA,1982,1976,6,234181,1965282
NA,NA,NA,NA,1983,1980,3,1374,22505268
NA,NA,NA,NA,1983,1979,4,18937905,11218434
NA,NA,NA,NA,1983,1978,5,2435919,4149288
NA,NA,NA,NA,1983,1977,6,121674,1341144
NA,NA,NA,NA,1984,1981,3,1,1754358
NA,NA,NA,NA,1984,1980,4,2552669,22505268
NA,NA,NA,NA,1984,1979,5,20390593,11218434
NA,NA,NA,NA,1984,1978,6,987655,4149288
NA,NA,NA,NA,1985,1982,3,1,1134840
NA,NA,NA,NA,1985,1981,4,750465,1754358
NA,NA,NA,NA,1985,1980,5,9676168,22505268
NA,NA,NA,NA,1985,1979,6,3664906,11218434
NA,NA,NA,NA,1986,1983,3,909,3569982
NA,NA,NA,NA,1986,1982,4,493256,1134840
NA,NA,NA,NA,1986,1981,5,1151183,1754358
NA,NA,NA,NA,1986,1980,6,367101,22505268
NA,NA,NA,NA,1987,1984,3,1,10490670
NA,NA,NA,NA,1987,1983,4,9269980,3569982
NA,NA,NA,NA,1987,1982,5,900024,1134840
NA,NA,NA,NA,1987,1981,6,147140,1754358
NA,NA,NA,NA,1988,1985,3,11386,7211046
NA,NA,NA,NA,1988,1984,4,2626450,10490670
NA,NA,NA,NA,1988,1983,5,4106247,3569982
NA,NA,NA,NA,1988,1982,6,115966,1134840
NA,NA,NA,NA,1989,1986,3,1588,1179322
NA,NA,NA,NA,1989,1985,4,1094912,7211046
