Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Run,Total_Spawners_BroodYear
Naknek,Sockeye,Run,2025,1963,1960,3,1,NA
NA,NA,NA,NA,1963,1959,4,494522,NA
NA,NA,NA,NA,1963,1958,5,737363,NA
NA,NA,NA,NA,1963,1957,6,564422,NA
NA,NA,NA,NA,1964,1961,3,1,NA
NA,NA,NA,NA,1964,1960,4,1077234,NA
NA,NA,NA,NA,1964,1959,5,763193,NA
NA,NA,NA,NA,1964,1958,6,102969,NA
NA,NA,NA,NA,1965,1962,3,170,NA
NA,NA,NA,NA,1965,1961,4,116508,NA
NA,NA,NA,NA,1965,1960,5,835598,NA
NA,NA,NA,NA,1965,1959,6,266999,NA
NA,NA,NA,NA,1966,1963,3,1,905358
NA,NA,NA,NA,1966,1962,4,136264,NA
NA,NA,NA,NA,1966,1961,5,1302644,NA
NA,NA,NA,NA,1966,1960,6,1445878,NA
NA,NA,NA,NA,1967,1964,3,743,1349604
NA,NA,NA,NA,1967,1963,4,165159,905358
NA,NA,NA,NA,1967,1962,5,658249,NA
NA,NA,NA,NA,1967,1961,6,729295,NA
NA,NA,NA,NA,1968,1965,3,12877,717798
NA,NA,NA,NA,1968,1964,4,376952,1349604
NA,NA,NA,NA,1968,1963,5,1117157,905358
NA,NA,NA,NA,1968,1962,6,311653,NA
NA,NA,NA,NA,1969,1966,3,13371,1016445
NA,NA,NA,NA,1969,1965,4,671496,717798
NA,NA,NA,NA,1969,1964,5,1531714,1349604
NA,NA,NA,NA,1969,1963,6,424520,905358
NA,NA,NA,NA,1970,1967,3,1,755640
NA,NA,NA,NA,1970,1966,4,920518,1016445
NA,NA,NA,NA,1970,1965,5,1454880,717798
NA,NA,NA,NA,1970,1964,6,314122,1349604
NA,NA,NA,NA,1971,1968,3,3585,1023222
NA,NA,NA,NA,1971,1967,4,356246,755640
NA,NA,NA,NA,1971,1966,5,2782687,1016445
NA,NA,NA,NA,1971,1965,6,515515,717798
NA,NA,NA,NA,1972,1969,3,1,1331202
NA,NA,NA,NA,1972,1968,4,126410,1023222
NA,NA,NA,NA,1972,1967,5,853446,755640
NA,NA,NA,NA,1972,1966,6,488528,1016445
NA,NA,NA,NA,1973,1970,3,597,732502
NA,NA,NA,NA,1973,1969,4,50255,1331202
NA,NA,NA,NA,1973,1968,5,290868,1023222
NA,NA,NA,NA,1973,1967,6,342019,755640
NA,NA,NA,NA,1974,1971,3,225,935754
NA,NA,NA,NA,1974,1970,4,179339,732502
NA,NA,NA,NA,1974,1969,5,1077174,1331202
NA,NA,NA,NA,1974,1968,6,217449,1023222
NA,NA,NA,NA,1975,1972,3,2938,586518
NA,NA,NA,NA,1975,1971,4,366993,935754
NA,NA,NA,NA,1975,1970,5,1831304,732502
NA,NA,NA,NA,1975,1969,6,1009916,1331202
NA,NA,NA,NA,1976,1973,3,1,356676
NA,NA,NA,NA,1976,1972,4,264000,586518
NA,NA,NA,NA,1976,1971,5,2407828,935754
NA,NA,NA,NA,1976,1970,6,522339,732502
NA,NA,NA,NA,1977,1974,3,1544,1241058
NA,NA,NA,NA,1977,1973,4,611792,356676
NA,NA,NA,NA,1977,1972,5,756723,586518
NA,NA,NA,NA,1977,1971,6,1541035,935754
NA,NA,NA,NA,1978,1975,3,1029,2026686
NA,NA,NA,NA,1978,1974,4,255731,1241058
NA,NA,NA,NA,1978,1973,5,1280498,356676
NA,NA,NA,NA,1978,1972,6,685210,586518
NA,NA,NA,NA,1979,1976,3,4277,1320750
NA,NA,NA,NA,1979,1975,4,468503,2026686
NA,NA,NA,NA,1979,1974,5,1497110,1241058
NA,NA,NA,NA,1979,1973,6,850378,356676
NA,NA,NA,NA,1980,1977,3,4429,1085856
NA,NA,NA,NA,1980,1976,4,1017916,1320750
NA,NA,NA,NA,1980,1975,5,3169577,2026686
NA,NA,NA,NA,1980,1974,6,888128,1241058
NA,NA,NA,NA,1981,1978,3,393,813378
NA,NA,NA,NA,1981,1977,4,793104,1085856
NA,NA,NA,NA,1981,1976,5,6411482,1320750
NA,NA,NA,NA,1981,1975,6,1551852,2026686
NA,NA,NA,NA,1982,1979,3,8951,925362
NA,NA,NA,NA,1982,1978,4,499904,813378
NA,NA,NA,NA,1982,1977,5,2602771,1085856
NA,NA,NA,NA,1982,1976,6,1544436,1320750
NA,NA,NA,NA,1983,1980,3,803,2644698
NA,NA,NA,NA,1983,1979,4,1395229,925362
NA,NA,NA,NA,1983,1978,5,1580743,813378
NA,NA,NA,NA,1983,1977,6,317868,1085856
NA,NA,NA,NA,1984,1981,3,4917,1796220
NA,NA,NA,NA,1984,1980,4,1077182,2644698
NA,NA,NA,NA,1984,1979,5,2084113,925362
NA,NA,NA,NA,1984,1978,6,707255,813378
NA,NA,NA,NA,1985,1982,3,5105,1155552
NA,NA,NA,NA,1985,1981,4,778411,1796220
NA,NA,NA,NA,1985,1980,5,2978498,2644698
NA,NA,NA,NA,1985,1979,6,475296,925362
NA,NA,NA,NA,1986,1983,3,1,888294
NA,NA,NA,NA,1986,1982,4,163881,1155552
NA,NA,NA,NA,1986,1981,5,2953444,1796220
NA,NA,NA,NA,1986,1980,6,872492,2644698
NA,NA,NA,NA,1987,1984,3,249,1242474
NA,NA,NA,NA,1987,1983,4,187445,888294
NA,NA,NA,NA,1987,1982,5,1167217,1155552
NA,NA,NA,NA,1987,1981,6,962598,1796220
NA,NA,NA,NA,1988,1985,3,2110,1849938
NA,NA,NA,NA,1988,1984,4,544688,1242474
NA,NA,NA,NA,1988,1983,5,907051,888294
NA,NA,NA,NA,1988,1982,6,504706,1155552
NA,NA,NA,NA,1989,1986,3,7752,1977645
NA,NA,NA,NA,1989,1985,4,862090,1849938
NA,NA,NA,NA,1989,1984,5,2403663,1242474
NA,NA,NA,NA,1989,1983,6,388030,888294
NA,NA,NA,NA,1990,1987,3,2660,1061806
NA,NA,NA,NA,1990,1986,4,1867028,1977645
NA,NA,NA,NA,1990,1985,5,4890912,1849938
NA,NA,NA,NA,1990,1984,6,1539732,1242474
NA,NA,NA,NA,1991,1988,3,1,1037862
NA,NA,NA,NA,1991,1987,4,386727,1061806
NA,NA,NA,NA,1991,1986,5,7903643,1977645
NA,NA,NA,NA,1991,1985,6,1462624,1849938
NA,NA,NA,NA,1992,1989,3,1192,1161984
NA,NA,NA,NA,1992,1988,4,386491,1037862
NA,NA,NA,NA,1992,1987,5,1864846,1061806
NA,NA,NA,NA,1992,1986,6,2923723,1977645
NA,NA,NA,NA,1993,1990,3,1,2092578
NA,NA,NA,NA,1993,1989,4,365446,1161984
NA,NA,NA,NA,1993,1988,5,1900973,1037862
NA,NA,NA,NA,1993,1987,6,3268178,1061806
NA,NA,NA,NA,1994,1991,3,13701,3578508
NA,NA,NA,NA,1994,1990,4,714621,2092578
NA,NA,NA,NA,1994,1989,5,2226105,1161984
NA,NA,NA,NA,1994,1988,6,735077,1037862
NA,NA,NA,NA,1995,1992,3,1,1606650
NA,NA,NA,NA,1995,1991,4,454108,3578508
NA,NA,NA,NA,1995,1990,5,2442183,2092578
NA,NA,NA,NA,1995,1989,6,540520,1161984
NA,NA,NA,NA,1996,1993,3,122,1535658
