Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Run,Total_Spawners_BroodYear
Nushagak,Sockeye,Run,2022,1963,1960,3,34663,NA
NA,NA,NA,NA,1963,1959,4,39870,NA
NA,NA,NA,NA,1963,1958,5,377865,NA
NA,NA,NA,NA,1963,1957,6,1,NA
NA,NA,NA,NA,1964,1961,3,6980,NA
NA,NA,NA,NA,1964,1960,4,51366,NA
NA,NA,NA,NA,1964,1959,5,169014,NA
NA,NA,NA,NA,1964,1958,6,38995,NA
NA,NA,NA,NA,1965,1962,3,12765,NA
NA,NA,NA,NA,1965,1961,4,262195,NA
NA,NA,NA,NA,1965,1960,5,265000,NA
NA,NA,NA,NA,1965,1959,6,42226,NA
NA,NA,NA,NA,1966,1963,3,1,234820.8
NA,NA,NA,NA,1966,1962,4,19665,NA
NA,NA,NA,NA,1966,1961,5,188788,NA
NA,NA,NA,NA,1966,1960,6,203132,NA
NA,NA,NA,NA,1967,1964,3,13964,134852.63
NA,NA,NA,NA,1967,1963,4,40442,234820.8
NA,NA,NA,NA,1967,1962,5,77013,NA
NA,NA,NA,NA,1967,1961,6,8210,NA
NA,NA,NA,NA,1968,1965,3,2117,255793.5
NA,NA,NA,NA,1968,1964,4,9661,134852.63
NA,NA,NA,NA,1968,1963,5,163474,234820.8
NA,NA,NA,NA,1968,1962,6,43207,NA
NA,NA,NA,NA,1969,1966,3,5638,233577.61
NA,NA,NA,NA,1969,1965,4,100074,255793.5
NA,NA,NA,NA,1969,1964,5,67755,134852.63
NA,NA,NA,NA,1969,1963,6,10924,234820.8
NA,NA,NA,NA,1970,1967,3,11438,74002.82
NA,NA,NA,NA,1970,1966,4,174796,233577.61
NA,NA,NA,NA,1970,1965,5,677562,255793.5
NA,NA,NA,NA,1970,1964,6,1963,134852.63
NA,NA,NA,NA,1971,1968,3,1,142360.42
NA,NA,NA,NA,1971,1967,4,153160,74002.82
NA,NA,NA,NA,1971,1966,5,521131,233577.61
NA,NA,NA,NA,1971,1965,6,1,255793.5
NA,NA,NA,NA,1972,1969,3,1,95805.05
NA,NA,NA,NA,1972,1968,4,35190,142360.42
NA,NA,NA,NA,1972,1967,5,51984,74002.82
NA,NA,NA,NA,1972,1966,6,1,233577.61
NA,NA,NA,NA,1973,1970,3,2654,452891.76
NA,NA,NA,NA,1973,1969,4,102322,95805.05
NA,NA,NA,NA,1973,1968,5,301698,142360.42
NA,NA,NA,NA,1973,1967,6,10451,74002.82
NA,NA,NA,NA,1974,1971,3,5027,312699.18
NA,NA,NA,NA,1974,1970,4,131141,452891.76
NA,NA,NA,NA,1974,1969,5,108736,95805.05
NA,NA,NA,NA,1974,1968,6,7291,142360.42
NA,NA,NA,NA,1975,1972,3,3598,39850.56
NA,NA,NA,NA,1975,1971,4,9603,312699.18
NA,NA,NA,NA,1975,1970,5,757962,452891.76
NA,NA,NA,NA,1975,1969,6,282634,95805.05
NA,NA,NA,NA,1976,1973,3,4046,210600.77
NA,NA,NA,NA,1976,1972,4,146263,39850.56
NA,NA,NA,NA,1976,1971,5,836271,312699.18
NA,NA,NA,NA,1976,1970,6,97007,452891.76
NA,NA,NA,NA,1977,1974,3,1112,204190.17
NA,NA,NA,NA,1977,1973,4,25302,210600.77
NA,NA,NA,NA,1977,1972,5,910272,39850.56
NA,NA,NA,NA,1977,1971,6,160098,312699.18
NA,NA,NA,NA,1978,1975,3,48829,832092.6
NA,NA,NA,NA,1978,1974,4,1,204190.17
NA,NA,NA,NA,1978,1973,5,1295156,210600.77
NA,NA,NA,NA,1978,1972,6,87846,39850.56
NA,NA,NA,NA,1979,1976,3,6033,520302.59
NA,NA,NA,NA,1979,1975,4,639484,832092.6
NA,NA,NA,NA,1979,1974,5,347597,204190.17
NA,NA,NA,NA,1979,1973,6,55685,210600.77
NA,NA,NA,NA,1980,1977,3,1,611588.36
NA,NA,NA,NA,1980,1976,4,252427,520302.59
NA,NA,NA,NA,1980,1975,5,5102598,832092.6
NA,NA,NA,NA,1980,1974,6,34914,204190.17
NA,NA,NA,NA,1981,1978,3,1,734040.08
NA,NA,NA,NA,1981,1977,4,45374,611588.36
NA,NA,NA,NA,1981,1976,5,3626182,520302.59
NA,NA,NA,NA,1981,1975,6,204238,832092.6
NA,NA,NA,NA,1982,1979,3,72863,551271.66
NA,NA,NA,NA,1982,1978,4,434932,734040.08
NA,NA,NA,NA,1982,1977,5,3092101,611588.36
NA,NA,NA,NA,1982,1976,6,467282,520302.59
NA,NA,NA,NA,1983,1980,3,22436,3669136.41
NA,NA,NA,NA,1983,1979,4,960080,551271.66
NA,NA,NA,NA,1983,1978,5,1078793,734040.08
NA,NA,NA,NA,1983,1977,6,98614,611588.36
NA,NA,NA,NA,1984,1981,3,30304,1118872.88
NA,NA,NA,NA,1984,1980,4,542833,3669136.41
NA,NA,NA,NA,1984,1979,5,767683,551271.66
NA,NA,NA,NA,1984,1978,6,1,734040.08
NA,NA,NA,NA,1985,1982,3,83665,664579.77
NA,NA,NA,NA,1985,1981,4,351608,1118872.88
NA,NA,NA,NA,1985,1980,5,514845,3669136.41
NA,NA,NA,NA,1985,1979,6,45526,551271.66
NA,NA,NA,NA,1986,1983,3,115331,446845.05
NA,NA,NA,NA,1986,1982,4,545388,664579.77
NA,NA,NA,NA,1986,1981,5,1588468,1118872.88
NA,NA,NA,NA,1986,1980,6,130151,3669136.41
NA,NA,NA,NA,1987,1984,3,10147,655739.2
NA,NA,NA,NA,1987,1983,4,736127,446845.05
NA,NA,NA,NA,1987,1982,5,628122,664579.77
NA,NA,NA,NA,1987,1981,6,5804,1118872.88
NA,NA,NA,NA,1988,1985,3,85591,551319.22
NA,NA,NA,NA,1988,1984,4,265335,655739.2
NA,NA,NA,NA,1988,1983,5,660604,446845.05
NA,NA,NA,NA,1988,1982,6,77974,664579.77
NA,NA,NA,NA,1989,1986,3,94281,1095241.26
NA,NA,NA,NA,1989,1985,4,596763,551319.22
NA,NA,NA,NA,1989,1984,5,463018,655739.2
NA,NA,NA,NA,1989,1983,6,36676,446845.05
NA,NA,NA,NA,1990,1987,3,174615,429181.61
NA,NA,NA,NA,1990,1986,4,902011,1095241.26
NA,NA,NA,NA,1990,1985,5,705153,551319.22
NA,NA,NA,NA,1990,1984,6,22748,655739.2
