# AGE CLASS LOOKUP FILE
# Generated from return table
# Step 1: Find the age class that accounts for most recruits by brood year (median % over all years)
# Step 2: get main cohort for each age from MainAge-2 to MainAge+1 (excluding any 2-yr olds)
# Step 3: Calculate ocean-entry offset from brood year and from return year for each age based on the dominant age class for that age
System,River,Age,Label,Euro,GR,Perc_Med,FW_Winters,Mar_Winters,MarineEntryOffset_BrYr,MarineEntryOffset_RetYr
Bristol Bay,Alagnak,3,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1
Bristol Bay,Alagnak,4,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2
Bristol Bay,Alagnak,5,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3
Bristol Bay,Alagnak,6,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3
Bristol Bay,Egegik,3,AgeClass_1.1,1.1,3_2,0.01,1,1,2,-1
Bristol Bay,Egegik,4,AgeClass_1.2,1.2,4_2,6.12,1,2,2,-2
Bristol Bay,Egegik,5,AgeClass_2.2,2.2,5_3,45.81,2,2,3,-2
Bristol Bay,Egegik,6,AgeClass_2.3,2.3,6_3,30.05,2,3,3,-3
Bristol Bay,Igushik,3,AgeClass_0.2,0.2,3_1,0,0,2,1,-2
Bristol Bay,Igushik,4,AgeClass_1.2,1.2,4_2,24.31,1,2,2,-2
Bristol Bay,Igushik,5,AgeClass_1.3,1.3,5_2,65.98,1,3,2,-3
Bristol Bay,Igushik,6,AgeClass_2.3,2.3,6_3,3.08,2,3,3,-3
Bristol Bay,Kvichak,3,AgeClass_1.1,1.1,3_2,0.01,1,1,2,-1
Bristol Bay,Kvichak,4,AgeClass_1.2,1.2,4_2,32.98,1,2,2,-2
Bristol Bay,Kvichak,5,AgeClass_2.2,2.2,5_3,37.41,2,2,3,-2
Bristol Bay,Kvichak,6,AgeClass_2.3,2.3,6_3,7.17,2,3,3,-3
Bristol Bay,Naknek,3,AgeClass_1.1,1.1,3_2,0.06,1,1,2,-1
Bristol Bay,Naknek,4,AgeClass_1.2,1.2,4_2,18.96,1,2,2,-2
Bristol Bay,Naknek,5,AgeClass_1.3,1.3,5_2,37.08,1,3,2,-3
Bristol Bay,Naknek,6,AgeClass_2.3,2.3,6_3,17.62,2,3,3,-3
Bristol Bay,Nushagak,3,AgeClass_0.2,0.2,3_1,0.14,0,2,1,-2
Bristol Bay,Nushagak,4,AgeClass_1.2,1.2,4_2,8.35,1,2,2,-2
Bristol Bay,Nushagak,5,AgeClass_1.3,1.3,5_2,71.96,1,3,2,-3
Bristol Bay,Nushagak,6,AgeClass_1.4,1.4,6_2,1.58,1,4,2,-4
Bristol Bay,Ugashik,3,AgeClass_1.1,1.1,3_2,0.06,1,1,2,-1
Bristol Bay,Ugashik,4,AgeClass_1.2,1.2,4_2,25.46,1,2,2,-2
Bristol Bay,Ugashik,5,AgeClass_1.3,1.3,5_2,28.83,1,3,2,-3
Bristol Bay,Ugashik,6,AgeClass_2.3,2.3,6_3,9.82,2,3,3,-3
Bristol Bay,Wood,3,AgeClass_1.1,1.1,3_2,0.07,1,1,2,-1
Bristol Bay,Wood,4,AgeClass_1.2,1.2,4_2,47.84,1,2,2,-2
Bristol Bay,Wood,5,AgeClass_1.3,1.3,5_2,44.62,1,3,2,-3
