Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Run
Okanagan,Sockeye,Run,2024,2003,2000,3,9395
NA,NA,NA,NA,2003,1999,4,18635
NA,NA,NA,NA,2003,1998,5,422
NA,NA,NA,NA,2004,2001,3,2836
NA,NA,NA,NA,2004,2000,4,86982
NA,NA,NA,NA,2004,1999,5,1418
NA,NA,NA,NA,2005,2002,3,850
NA,NA,NA,NA,2005,2001,4,52032
NA,NA,NA,NA,2005,2000,5,3300
NA,NA,NA,NA,2006,2003,3,214
NA,NA,NA,NA,2006,2002,4,19839
NA,NA,NA,NA,2006,2001,5,6212
NA,NA,NA,NA,2007,2004,3,8503
NA,NA,NA,NA,2007,2003,4,8838
NA,NA,NA,NA,2007,2002,5,2504
NA,NA,NA,NA,2008,2005,3,13812
NA,NA,NA,NA,2008,2004,4,165563
NA,NA,NA,NA,2008,2003,5,7280
NA,NA,NA,NA,2009,2006,3,18377
NA,NA,NA,NA,2009,2005,4,117777
NA,NA,NA,NA,2009,2004,5,10625
NA,NA,NA,NA,2010,2007,3,5628
NA,NA,NA,NA,2010,2006,4,305059
NA,NA,NA,NA,2010,2005,5,6845
NA,NA,NA,NA,2011,2008,3,37484
NA,NA,NA,NA,2011,2007,4,89283
NA,NA,NA,NA,2011,2006,5,16409
NA,NA,NA,NA,2012,2009,3,7177
NA,NA,NA,NA,2012,2008,4,412687
NA,NA,NA,NA,2012,2007,5,9602
NA,NA,NA,NA,2013,2010,3,31034
NA,NA,NA,NA,2013,2009,4,83593
NA,NA,NA,NA,2013,2008,5,17279
NA,NA,NA,NA,2014,2011,3,86395
NA,NA,NA,NA,2014,2010,4,405297
NA,NA,NA,NA,2014,2009,5,2481
NA,NA,NA,NA,2015,2012,3,509
NA,NA,NA,NA,2015,2011,4,352399
NA,NA,NA,NA,2015,2010,5,8428
NA,NA,NA,NA,2016,2013,3,2257
NA,NA,NA,NA,2016,2012,4,228182
NA,NA,NA,NA,2016,2011,5,7296
NA,NA,NA,NA,2017,2014,3,9880
NA,NA,NA,NA,2017,2013,4,29235
NA,NA,NA,NA,2017,2012,5,12618
NA,NA,NA,NA,2018,2015,3,696
NA,NA,NA,NA,2018,2014,4,171086
NA,NA,NA,NA,2018,2013,5,3045
NA,NA,NA,NA,2019,2016,3,29454
NA,NA,NA,NA,2019,2015,4,9971
NA,NA,NA,NA,2019,2014,5,14771
NA,NA,NA,NA,2020,2017,3,3010
NA,NA,NA,NA,2020,2016,4,269836
NA,NA,NA,NA,2020,2015,5,821
NA,NA,NA,NA,2021,2018,3,26681
NA,NA,NA,NA,2021,2017,4,66198
NA,NA,NA,NA,2021,2016,5,12526
NA,NA,NA,NA,2022,2019,3,12269
NA,NA,NA,NA,2022,2018,4,492101
NA,NA,NA,NA,2022,2017,5,8947
NA,NA,NA,NA,2023,2020,3,29586
NA,NA,NA,NA,2023,2019,4,130384
NA,NA,NA,NA,2023,2018,5,18378
NA,NA,NA,NA,2024,2021,3,NA
NA,NA,NA,NA,2024,2020,4,NA
NA,NA,NA,NA,2024,2019,5,NA
NA,NA,NA,NA,2025,2022,3,NA
NA,NA,NA,NA,2025,2021,4,NA
NA,NA,NA,NA,2025,2020,5,NA
