Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Run
Wenatchee,Sockeye,Run,2022,2003,2000,3,1
NA,NA,NA,NA,2003,1999,4,1
NA,NA,NA,NA,2003,1998,5,5001
NA,NA,NA,NA,2004,2001,3,1
NA,NA,NA,NA,2004,2000,4,29816
NA,NA,NA,NA,2004,1999,5,3562
NA,NA,NA,NA,2005,2002,3,1
NA,NA,NA,NA,2005,2001,4,12506
NA,NA,NA,NA,2005,2000,5,3500
NA,NA,NA,NA,2006,2003,3,1
NA,NA,NA,NA,2006,2002,4,3746
NA,NA,NA,NA,2006,2001,5,6391
NA,NA,NA,NA,2007,2004,3,13
NA,NA,NA,NA,2007,2003,4,350
NA,NA,NA,NA,2007,2002,5,3259
NA,NA,NA,NA,2008,2005,3,1
NA,NA,NA,NA,2008,2004,4,23599
NA,NA,NA,NA,2008,2003,5,2772
NA,NA,NA,NA,2009,2006,3,188
NA,NA,NA,NA,2009,2005,4,20420
NA,NA,NA,NA,2009,2004,5,6322
NA,NA,NA,NA,2010,2007,3,1
NA,NA,NA,NA,2010,2006,4,54358
NA,NA,NA,NA,2010,2005,5,11177
NA,NA,NA,NA,2011,2008,3,1
NA,NA,NA,NA,2011,2007,4,32253
NA,NA,NA,NA,2011,2006,5,7539
NA,NA,NA,NA,2012,2009,3,1
NA,NA,NA,NA,2012,2008,4,79064
NA,NA,NA,NA,2012,2007,5,7093
NA,NA,NA,NA,2013,2010,3,1
NA,NA,NA,NA,2013,2009,4,36832
NA,NA,NA,NA,2013,2008,5,16551
NA,NA,NA,NA,2014,2011,3,1044
NA,NA,NA,NA,2014,2010,4,103537
NA,NA,NA,NA,2014,2009,5,2569
NA,NA,NA,NA,2015,2012,3,1
NA,NA,NA,NA,2015,2011,4,135026
NA,NA,NA,NA,2015,2010,5,10943
NA,NA,NA,NA,2016,2013,3,1
NA,NA,NA,NA,2016,2012,4,64812
NA,NA,NA,NA,2016,2011,5,30026
NA,NA,NA,NA,2017,2014,3,1
NA,NA,NA,NA,2017,2013,4,14268
NA,NA,NA,NA,2017,2012,5,20501
NA,NA,NA,NA,2018,2015,3,1
NA,NA,NA,NA,2018,2014,4,13845
NA,NA,NA,NA,2018,2013,5,3506
NA,NA,NA,NA,2019,2016,3,36
NA,NA,NA,NA,2019,2015,4,2144
NA,NA,NA,NA,2019,2014,5,5598
NA,NA,NA,NA,2020,2017,3,1
NA,NA,NA,NA,2020,2016,4,55999
NA,NA,NA,NA,2020,2015,5,112
NA,NA,NA,NA,2021,2018,3,1
NA,NA,NA,NA,2021,2017,4,33293
NA,NA,NA,NA,2021,2016,5,9573
NA,NA,NA,NA,2022,2019,3,NA
NA,NA,NA,NA,2022,2018,4,NA
NA,NA,NA,NA,2022,2017,5,NA
NA,NA,NA,NA,2023,2020,3,NA
NA,NA,NA,NA,2023,2019,4,NA
NA,NA,NA,NA,2023,2018,5,NA
