Stock,FC_Year,ModelLabel,Age,PointFC,AvgRankByAge,p10,p25,p50,p75,p90,System
Bonneville Lock & Dam,2021,Naive4,Age 3,12343,5.166666666666667,893,3408,9634,27017,59622,Columbia River
Bonneville Lock & Dam,2021,Naive4,Age 4,148401,5.5,27913,54496,120954,235418,422078,Columbia River
Bonneville Lock & Dam,2021,Naive4,Age 5,10781,6.5,2255,3961,9405,17630,32392,Columbia River
Bonneville Lock & Dam,2021,Naive4,Total,171525,5.666666666666667,44881,85486,152018,264813,381342,Columbia River
Bonneville Lock & Dam,2021,Naive8,Age 3,21529,2.5,2165,5318,14883,39077,80812,Columbia River
Bonneville Lock & Dam,2021,Naive8,Age 4,251367,5.333333333333333,44719,98965,212459,397454,684481,Columbia River
Bonneville Lock & Dam,2021,Naive8,Age 5,19477,5.333333333333333,3223,7265,16336,33943,57547,Columbia River
Bonneville Lock & Dam,2021,Naive8,Total,292373,5.416666666666667,76772,147252,255628,421866,604328,Columbia River
Bonneville Lock & Dam,2021,SibRegSimple,Age 3,10369,3,812,3146,8487,21866,44499,Columbia River
Bonneville Lock & Dam,2021,SibRegSimple,Age 4,24021,3.5,6809,12324,21379,35530,54722,Columbia River
Bonneville Lock & Dam,2021,SibRegSimple,Age 5,27623,2.8333333333333335,9824,16132,24203,37918,53249,Columbia River
Bonneville Lock & Dam,2021,SibRegSimple,Total,62013,4.333333333333333,26765,39222,57143,76968,101246,Columbia River
Bonneville Lock & Dam,2021,SibRegLogPower,Age 3,10369,3,1072,2851,8389,21832,43130,Columbia River
Bonneville Lock & Dam,2021,SibRegLogPower,Age 4,84672,2.3333333333333335,32250,47650,74483,115494,159384,Columbia River
Bonneville Lock & Dam,2021,SibRegLogPower,Age 5,33738,4.166666666666667,13441,20246,32948,47872,64012,Columbia River
Bonneville Lock & Dam,2021,SibRegLogPower,Total,128779,2.3333333333333335,67659,90172,116755,150299,177842,Columbia River
Bonneville Lock & Dam,2021,SibRegKalman,Age 3,10369,3,1082,2904,8742,23946,47916,Columbia River
Bonneville Lock & Dam,2021,SibRegKalman,Age 4,146667,2.5,36862,63066,119423,216050,324314,Columbia River
Bonneville Lock & Dam,2021,SibRegKalman,Age 5,26581,2.5,8915,14934,25277,38570,53274,Columbia River
Bonneville Lock & Dam,2021,SibRegKalman,Total,183616,2.3333333333333335,65353,110486,167434,254129,337434,Columbia River
Bonneville Lock & Dam,2021,TimeSeriesArimaBC,Age 3,8241,7.166666666666667,726,2326,6440,20806,43935,Columbia River
Bonneville Lock & Dam,2021,TimeSeriesArimaBC,Age 4,233352,7.666666666666667,35981,82557,201868,450206,728629,Columbia River
Bonneville Lock & Dam,2021,TimeSeriesArimaBC,Age 5,6304,4,1368,2700,5677,10521,17706,Columbia River
Bonneville Lock & Dam,2021,TimeSeriesArimaBC,Total,247897,7.833333333333333,53860,102566,212235,370792,628640,Columbia River
Bonneville Lock & Dam,2021,TimeSeriesArimaNoBC,Age 3,9789,8.5,249,1156,5443,32503,101491,Columbia River
Bonneville Lock & Dam,2021,TimeSeriesArimaNoBC,Age 4,125135,5.833333333333333,25683,48951,104109,204901,308524,Columbia River
Bonneville Lock & Dam,2021,TimeSeriesArimaNoBC,Age 5,8670,5.5,1641,3468,7581,15444,26576,Columbia River
Bonneville Lock & Dam,2021,TimeSeriesArimaNoBC,Total,143594,4.5,37788,68984,116400,213483,304754,Columbia River
Bonneville Lock & Dam,2021,TimeSeriesExpSmoothBC,Age 3,16385,6.166666666666667,1484,5015,12264,38487,88643,Columbia River
Bonneville Lock & Dam,2021,TimeSeriesExpSmoothBC,Age 4,234208,7,47757,95065,214150,426830,712112,Columbia River
Bonneville Lock & Dam,2021,TimeSeriesExpSmoothBC,Age 5,6882,7,1455,3136,5967,12300,23096,Columbia River
Bonneville Lock & Dam,2021,TimeSeriesExpSmoothBC,Total,257475,7.166666666666667,71480,129558,226815,399940,572664,Columbia River
Bonneville Lock & Dam,2021,TimeSeriesExpSmoothNoBC,Age 3,14611,6.5,974,3522,11538,32708,67707,Columbia River
Bonneville Lock & Dam,2021,TimeSeriesExpSmoothNoBC,Age 4,223623,5.333333333333333,44936,87339,193860,424946,728593,Columbia River
Bonneville Lock & Dam,2021,TimeSeriesExpSmoothNoBC,Age 5,15046,7.166666666666667,2685,5402,14193,31000,53530,Columbia River
Bonneville Lock & Dam,2021,TimeSeriesExpSmoothNoBC,Total,253279,5.416666666666667,59523,109160,205682,340819,539586,Columbia River
Bonneville Lock & Dam,2022,Naive4,Age 3,19841,5.166666666666667,1398,4716,17545,50072,119160,Columbia River
Bonneville Lock & Dam,2022,Naive4,Age 4,159625,5.583333333333333,36532,66240,136040,279936,453191,Columbia River
Bonneville Lock & Dam,2022,Naive4,Age 5,8076,6.25,1409,3464,7124,13717,23708,Columbia River
Bonneville Lock & Dam,2022,Naive4,Total,187542,5,49365,90402,154996,276800,439062,Columbia River
Bonneville Lock & Dam,2022,Naive8,Age 3,22678,2,2531,6879,17185,50968,94195,Columbia River
Bonneville Lock & Dam,2022,Naive8,Age 4,247768,5.416666666666667,46832,94328,215963,410724,737116,Columbia River
Bonneville Lock & Dam,2022,Naive8,Age 5,17709,4.916666666666667,3907,7396,15907,32654,55965,Columbia River
Bonneville Lock & Dam,2022,Naive8,Total,288156,6.416666666666667,76865,152868,251613,402984,613196,Columbia River
Bonneville Lock & Dam,2022,SibRegSimple,Age 3,18153,3.5,1727,4284,12536,38750,71081,Columbia River
Bonneville Lock & Dam,2022,SibRegSimple,Age 4,338453,3.5,83315,151516,317377,544013,795160,Columbia River
Bonneville Lock & Dam,2022,SibRegSimple,Age 5,7109,2.8333333333333335,2646,4368,6715,10174,14776,Columbia River
Bonneville Lock & Dam,2022,SibRegSimple,Total,363715,4.333333333333333,139751,219970,339659,483670,614120,Columbia River
Bonneville Lock & Dam,2022,SibRegLogPower,Age 3,18153,3.5,1859,4367,13133,33712,62520,Columbia River
Bonneville Lock & Dam,2022,SibRegLogPower,Age 4,361897,2.3333333333333335,138308,209348,329687,516622,698628,Columbia River
Bonneville Lock & Dam,2022,SibRegLogPower,Age 5,14949,4.166666666666667,5471,8408,13578,21498,29519,Columbia River
Bonneville Lock & Dam,2022,SibRegLogPower,Total,394999,2.3333333333333335,208964,273018,354156,479030,561749,Columbia River
Bonneville Lock & Dam,2022,SibRegKalman,Age 3,18153,3.5,1813,6032,15992,38977,71721,Columbia River
Bonneville Lock & Dam,2022,SibRegKalman,Age 4,336506,2.5,79757,154944,298441,494554,764142,Columbia River
Bonneville Lock & Dam,2022,SibRegKalman,Age 5,11815,2.5,4457,7069,11071,16548,23211,Columbia River
Bonneville Lock & Dam,2022,SibRegKalman,Total,366474,2.3333333333333335,144397,218082,341677,501794,657922,Columbia River
Bonneville Lock & Dam,2022,TimeSeriesArimaBC,Age 3,11393,7.166666666666667,914,2542,8319,26971,65367,Columbia River
Bonneville Lock & Dam,2022,TimeSeriesArimaBC,Age 4,226554,7.666666666666667,38555,80327,185839,390532,756384,Columbia River
Bonneville Lock & Dam,2022,TimeSeriesArimaBC,Age 5,17286,4.25,4410,9040,15830,30020,52722,Columbia River
Bonneville Lock & Dam,2022,TimeSeriesArimaBC,Total,255234,7.666666666666667,47051,109322,223973,419637,691140,Columbia River
Bonneville Lock & Dam,2022,TimeSeriesArimaNoBC,Age 3,19912,8.5,483,2046,12324,61267,189375,Columbia River
Bonneville Lock & Dam,2022,TimeSeriesArimaNoBC,Age 4,260897,5.75,50101,106607,213825,459120,776815,Columbia River
Bonneville Lock & Dam,2022,TimeSeriesArimaNoBC,Age 5,16543,5.75,3203,6915,15759,31154,55256,Columbia River
Bonneville Lock & Dam,2022,TimeSeriesArimaNoBC,Total,297352,4.333333333333333,83670,140154,262849,450278,623468,Columbia River
Bonneville Lock & Dam,2022,TimeSeriesExpSmoothBC,Age 3,11648,5.166666666666667,1023,2851,8235,22570,46549,Columbia River
