System,Stock,Age,FC_Year,AvgRankByAge,ModelLabel,PointFC,p10,p25,p50,p75,p90
Columbia River,Bonneville Lock & Dam,Age 3,2021,2.5,Naive8,21529,2165,5318,14883,39077,80812
Columbia River,Bonneville Lock & Dam,Age 3,2021,3,SibRegSimple,10369,812,3146,8487,21866,44499
Columbia River,Bonneville Lock & Dam,Age 3,2021,3,SibRegLogPower,10369,1072,2851,8389,21832,43130
Columbia River,Bonneville Lock & Dam,Age 3,2021,3,SibRegKalman,10369,1082,2904,8742,23946,47916
Columbia River,Bonneville Lock & Dam,Age 3,2022,2,Naive8,22678,2531,6879,17185,50968,94195
Columbia River,Bonneville Lock & Dam,Age 3,2022,3.5,SibRegSimple,18153,1727,4284,12536,38750,71081
Columbia River,Bonneville Lock & Dam,Age 3,2022,3.5,SibRegLogPower,18153,1859,4367,13133,33712,62520
Columbia River,Bonneville Lock & Dam,Age 3,2022,3.5,SibRegKalman,18153,1813,6032,15992,38977,71721
Columbia River,Bonneville Lock & Dam,Age 3,2023,2,Naive8,13376,1561,4057,10204,26149,59948
Columbia River,Bonneville Lock & Dam,Age 3,2023,3.6666666666666665,SibRegSimple,18490,2250,5700,16024,37664,77344
Columbia River,Bonneville Lock & Dam,Age 3,2023,3.6666666666666665,SibRegLogPower,18490,2340,5530,17293,44519,100980
Columbia River,Bonneville Lock & Dam,Age 3,2023,3.6666666666666665,SibRegKalman,18490,2070,5766,15196,44168,84806
Columbia River,Bonneville Lock & Dam,Age 3,2024,2.3333333333333335,Naive8,17048,1697,4119,12730,32376,64045
Columbia River,Bonneville Lock & Dam,Age 3,2024,3.6666666666666665,SibRegSimple,24364,3774,7926,18672,49159,100457
Columbia River,Bonneville Lock & Dam,Age 3,2024,3.6666666666666665,SibRegLogPower,24364,2949,7010,18734,50417,107911
Columbia River,Bonneville Lock & Dam,Age 3,2024,3.6666666666666665,SibRegKalman,24364,3046,8975,21767,56318,106223
